FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;TOTALENFERMEDAD;TASAx100;x_geo;y_geo;zbs_geo;Column 11;Posición;MUNICIPIO
2020-03-01;1701;Gerencia de Ávila;170107;C.S. AVILA SUR OESTE;0;0.0;-4.7146621;40.6360601;AVILA SUR-OESTE;;40.6360601,-4.7146621;AVILA
2020-03-01;1701;Gerencia de Ávila;170113;C.S. NAVARREDONDA GREDOS;0;0.0;-5.1468286;40.3763715;GREDOS;;40.3763715,-5.1468286;HOYOS DE MIGUEL MUÑOZ/HOYOS DEL ESPINO/NAVADIJOS/NAVARREDONDA DE GREDOS/SAN JUAN DE GREDOS/SAN MARTIN DE LA VEGA DEL ALBERCHE/GARGANTA DEL VILLAR/HOYOS DEL COLLADO/CEPEDA LA MORA/SAN MARTIN DEL PIMPOLLAR
2020-03-01;1701;Gerencia de Ávila;170114;C.S. LAS NAVAS MARQUES;0;0.0;-4.3241213;40.6144359;NAVAS DEL MARQUES, LAS;;40.6144359,-4.3241213;NAVAS DEL MARQUES (LAS)/NAVALPERAL DE PINARES/PEGUERINOS
2020-03-01;1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;0;0.0;-5.308102;40.5423616;PIEDRAHITA;;40.5423616,-5.308102;HOYORREDONDO/NAVACEPEDILLA DE CORNEJA/PASCUALCOBO/SAN BARTOLOME DE CORNEJA/SANTA MARIA DEL BERROCAL/SANTIAGO DEL COLLADO/AREVALILLO/CASAS DEL PUERTO/MARTINEZ/MESEGAR DE CORNEJA/NARRILLOS DEL ALAMO/NAVAESCURIAL/SAN MIGUEL DE CORNEJA/ZAPARDIEL DE LA CAÑADA/BECEDILLAS/BONILLA DE LA SIERRA/COLLADO DEL MIRON/DIEGO DEL CARPIO/MALPARTIDA DE CORNEJA/MIRON (EL)/PIEDRAHITA/SAN MIGUEL DE SERREZUELA/TORTOLES/VILLAFRANCA DE LA SIERRA/VILLAR DE CORNEJA
2020-03-01;1702;Gerencia de Burgos;170201;C.S. ARANDA NORTE;0;0.0;-3.6555077;41.6891216;ARANDA NORTE;;41.6891216,-3.6555077;ARANDA DE DUERO
2020-03-01;1702;Gerencia de Burgos;170204;C.S. BELORADO;0;0.0;-3.2049005;42.3861643;BELORADO;;42.3861643,-3.2049005;CASTILDELGADO/ESPINOSA DEL CAMINO/FRESNO DE RIO TIRON/IBRILLOS/MIRANDA DE EBRO/PRADOLUENGO/VILORIA DE RIOJA/BELORADO/CEREZO DE RIO TIRON/CERRATON DE JUARROS/FRESNEDA DE LA SIERRA TIRON/REDECILLA DEL CAMINO/VILLAGALIJO/VILLAMBISTIA/BASCUÑANA/FRESNEÑA/REDECILLA DEL CAMPO/SANTA CRUZ DEL VALLE URBION/TOSANTOS/VALLE DE OCA/VALMALA/VILLAFRANCA MONTES DE OCA
2020-03-01;1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;0;0.0;-3.3925833;42.6158001;BRIVIESCA;;42.6158001,-3.3925833;BAÑUELOS DE BUREBA/BRIVIESCA/CANTABRANA/CARRIAS/CASCAJARES DE BUREBA/CASTIL DE PEONES/PIERNIGAS/QUINTANAELEZ/RUCANDIO/VALLARTA DE BUREBA/VID DE BUREBA (LA)/VILEÑA/ABAJAS/AGUAS CANDIDAS/AGUILAR DE BUREBA/ALCOCERO DE MOLA/BARRIOS DE BUREBA (LOS)/BERZOSA DE BUREBA/BUSTO DE BUREBA/FUENTEBUREBA/HORMAZAS (LAS)/LLANO DE BUREBA/NAVAS DE BUREBA/OÑA/PADRONES DE BUREBA/POZA DE LA SAL/PRADANOS DE BUREBA/QUINTANAVIDES/ROJAS/VILLANUEVA DE TEBA/ZUÑEDA/CARCEDO DE BUREBA/CUBO DE BUREBA/GRISALEÑA/MIRANDA DE EBRO/MIRAVECHE/QUINTANABUREBA/QUINTANILLA SAN GARCIA/REINOSO/RUBLACEDO DE ABAJO/SALAS DE BUREBA/SANTA MARIA RIVARREDONDA/SANTA OLALLA DE BUREBA
2020-03-01;1702;Gerencia de Burgos;170206;C.S. CRISTOBAL ACOSTA;0;0.0;-3.6992069;42.3440772;BURGOS CENTRO A;;42.3440772,-3.6992069;
2020-03-01;1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;0;0.0;-3.5966157;42.4521283;BURGOS RURAL NORTE;;42.4521283,-3.5966157;
2020-03-01;1702;Gerencia de Burgos;170212;C.S. GAMONAL ANTIGUA;0;0.0;-3.6191225;42.3758528;GAMONAL ANTIGUA;;42.3758528,-3.6191225;
2020-03-01;1702;Gerencia de Burgos;170217;C.S. LOS COMUNEROS;1;0.005850006;-3.6855424;42.3637215;COMUNEROS, LOS;;42.3637215,-3.6855424;BURGOS
2020-03-01;1702;Gerencia de Burgos;170218;C.S. LOS CUBOS;0;0.0;-3.742717;42.3602119;CUBOS, LOS;;42.3602119,-3.742717;BURGOS
